Date,Open,High,Low,Close,Volume
2021-01-04,274.78,275,265.2,268.94,15106110
2021-01-05,268.29,272.4,268.2111,270.97,9871557
2021-01-06,262,267.75,260.01,263.31,24354150
2021-01-07,265.9,271.61,264.78,268.74,15789760
2021-01-08,268.31,268.95,263.18,267.57,18528250
2021-01-11,260.48,263.47,255.9,256.84,30412290
2021-01-12,256.63,259.72,250.3,251.09,26449940
2021-01-13,251.55,253.95,249.2,251.64,19528940
2021-01-14,253.4,255.03,244.61,245.64,29739400
2021-01-15,247.9,253.86,247.16,251.36,24942930
2021-01-19,256.9,262.2,252.7201,261.1,28028550
2021-01-20,268.93,270.32,263.6,267.48,25199920
2021-01-21,269.26,273.6,267.4901,272.87,20838690
2021-01-22,272.01,278.47,272,274.5,21954040
2021-01-25,278.14,280.1,271.51,278.01,19086990
2021-01-26,278.14,285.39,277.81,282.05,19373640
2021-01-27,282.53,283.45,268.1201,272.14,35346190
2021-01-28,277.18,286.79,264.7,265,37758840
2021-01-29,265.3,266.56,254.85,258.33,30389500
2021-02-01,259.52,264.17,254.91,262.01,22914260
2021-02-02,264,268.85,263.27,267.08,17320790
2021-02-03,265.62,269.2,263.84,266.65,14223380
2021-02-04,267.01,268.16,264,266.49,16059960
2021-02-05,266.8,269.17,265.67,268.1,12454370
2021-02-08,268.75,269.86,265,266.58,13755190
2021-02-09,266.44,273.39,265.75,269.45,14613380
2021-02-10,272.4465,273.7999,267.72,271.87,14687150
2021-02-11,271.89,273.58,268.49,270.39,12828570
2021-02-12,270.52,271.18,268.34,270.5,9097597
2021-02-16,270.8,276.6,270.05,273.97,15417240
2021-02-17,271.24,273.97,269.58,273.57,12763240
2021-02-18,269.565,271.95,266.03,269.39,15249130
2021-02-19,269.86,270.27,260.15,261.56,25622590
2021-02-22,257.95,263.07,257.53,260.33,17434870
2021-02-23,259.5,267.46,254.96,265.855,21924560
2021-02-24,262.325,266.38,258.39,264.31,15736120
2021-02-25,262.3,266.94,254.04,254.69,19053140
2021-02-26,256.47,265.55,256.47,257.62,26619520
2021-03-01,260.82,266.65,257.9039,264.91,22157260
2021-03-02,265.78,266.71,258.65,259,15191720
2021-03-03,260.29,260.9899,255.1,255.41,15513520
2021-03-04,256.47,266.49,253.5,257.64,31626460
2021-03-05,260.67,265.45,255.61,264.28,26820060
2021-03-08,265.55,265.58,255.05,255.31,18391770
2021-03-09,261.175,268.53,259.81,265.74,22039740
2021-03-10,268.64,268.97,262.87,264.9,14210320
2021-03-11,268.11,277.9,267.82,273.88,21833980
2021-03-12,269.14,269.74,264.02,268.4,20600200
2021-03-15,269.08,275.96,268.5,273.75,16856750
2021-03-16,276.085,282.14,274.8,279.28,22437670
2021-03-17,275.705,286.23,275.41,284.01,21315040
2021-03-18,279.87,285.1899,278.28,278.62,18754850
2021-03-19,281.22,292.8,281.195,290.11,38930540
2021-03-22,290.45,299.705,286.7501,293.54,28273070
