Date,Open,High,Low,Close,Volume
2021-01-04,3.105,3.21,3.083,3.105,2425000
2021-01-05,3.116,3.16,3.093,3.116,2156000
2021-01-06,3.189,3.238,3.115,3.189,3347000
2021-01-07,3.219,3.326,3.197,3.219,6209000
2021-01-08,3.188,3.295,3.146,3.188,2618000
2021-01-11,3.21,3.239,3.143,3.21,1859000
2021-01-12,3.241,3.273,3.181,3.241,2702000
2021-01-13,3.254,3.294,3.225,3.254,2683000
2021-01-14,3.267,3.3,3.253,3.267,1847000
2021-01-15,3.235,3.31,3.226,3.235,2499000
2021-01-19,3.247,3.282,3.209,3.247,1771000
2021-01-20,3.368,3.387,3.265,3.368,3077000
2021-01-21,3.376,3.43,3.341,3.376,2628000
2021-01-22,3.421,3.434,3.309,3.421,3456000
2021-01-25,3.47,3.508,3.406,3.47,3044000
2021-01-26,3.379,3.48,3.36,3.379,2037000
2021-01-27,3.224,3.307,3.211,3.224,2374000
2021-01-28,3.18,3.242,3.124,3.18,1796000
2021-01-29,3.1,3.188,3.052,3.1,3096000
2021-02-01,3.154,3.197,3.095,3.154,2279000
2021-02-02,3.175,3.21,3.141,3.175,3097000
2021-02-03,3.303,3.474,3.25,3.303,4554000
2021-02-04,3.29,3.358,3.242,3.29,2096000
2021-02-05,3.195,3.271,3.103,3.195,3648000
2021-02-08,3.38,3.385,3.195,3.38,4206000
2021-02-09,3.39,3.408,3.33,3.39,1929000
2021-02-10,3.372,3.418,3.346,3.372,1591000
2021-02-11,3.422,3.462,3.356,3.422,2203000
2021-02-12,3.195,3.35,3.153,3.195,6508000
2021-02-16,3.193,3.294,3.179,3.193,2847000
2021-02-17,3.153,3.205,3.101,3.153,1796000
2021-02-18,3.163,3.186,3.134,3.163,1886000
2021-02-19,3.168,3.212,3.134,3.168,2102000
2021-02-22,3.178,3.222,3.12,3.178,2730000
2021-02-23,3.264,3.294,3.059,3.264,6735000
2021-02-24,3.37,3.398,3.238,3.37,3126000
2021-02-25,3.25,3.37,3.25,3.25,2807000
2021-02-26,3.263,3.323,3.205,3.263,3533000
2021-03-01,3.427,3.437,3.288,3.427,2218000
2021-03-02,3.408,3.46,3.377,3.408,2531000
2021-03-03,3.362,3.467,3.359,3.362,2916000
2021-03-04,3.262,3.394,3.226,3.262,2857000
2021-03-05,3.391,3.407,3.226,3.391,3309000
2021-03-08,3.455,3.531,3.4,3.455,3371000
2021-03-09,3.432,3.532,3.416,3.432,3133000
2021-03-10,3.57,3.592,3.434,3.57,2794000
2021-03-11,3.581,3.649,3.57,3.581,2684000
2021-03-12,3.646,3.663,3.499,3.646,2376000
2021-03-15,3.71,3.719,3.61,3.71,2706000
2021-03-16,3.714,3.75,3.676,3.714,2520000
2021-03-17,3.83,3.83,3.659,3.83,3811000
2021-03-18,3.823,3.88,3.786,3.823,4225000
2021-03-19,3.855,3.876,3.744,3.855,11351000
2021-03-22,3.892,3.937,3.79,3.892,3834000
2021-03-23,3.766,3.869,3.746,3.766,4155000
2021-03-24,3.739,3.874,3.731,3.739,3098000
