Date,Open,High,Low,Close,Volume
2021-01-04,50.1225,52.86,48.9963,50.1225,25125200
2021-01-05,52.81,52.9925,49.4375,52.81,20288800
2021-01-06,52.2125,53.6738,50.75,52.2125,18815600
2021-01-07,55.3675,55.525,53.2562,55.3675,16778400
2021-01-08,55.9325,57.205,55.0275,55.9325,14149600
2021-01-11,58.06,58.6575,54.5,58.06,20514800
2021-01-12,58.3975,59.635,58.25,58.3975,13527200
2021-01-13,56.605,59.1375,56.4,56.605,14216000
2021-01-14,56.405,57.975,55.69,56.405,12407200
2021-01-15,54.8775,57.5125,54.6875,54.8775,14619600
2021-01-19,55.48,56.165,54.3775,55.48,14651600
2021-01-20,56.5825,57.1425,55.55,56.5825,8515200
2021-01-21,55.25,57.125,54.9525,55.25,12702800
2021-01-22,55.88,56.5375,55.0775,55.88,8168800
2021-01-25,54.3725,57.6575,52.1725,54.3725,20852800
2021-01-26,51.7,54.4077,51.5025,51.7,21855600
2021-01-27,50.2325,51.94,48.465,50.2325,24436400
2021-01-28,53.1225,54.2,50.43,53.1225,13665200
2021-01-29,53.95,54.3875,51.34,53.95,16002000
2021-02-01,53.7525,54.6225,52.6125,53.7525,11728400
2021-02-02,54.91,55.3675,53.1325,54.91,14337200
2021-02-03,54.53,55.8725,54.0675,54.53,11615200
2021-02-04,56.0025,56.0725,54.2025,56.0025,12842800
2021-02-05,55.8825,56.9875,55.6,55.8825,8536800
2021-02-08,55.59,57.1625,54.7875,55.59,8828800
2021-02-09,55.93,56.3475,55.1,55.93,7478000
2021-02-10,57.8375,58.3875,55.1,57.8375,13526000
2021-02-11,58.7,59.9725,57.2825,58.7,15923600
2021-02-12,60.525,61.355,58.375,60.525,15564800
2021-02-16,60.605,62.82,59.4025,60.605,13186400
2021-02-17,59.64,60.65,57.2875,59.64,11934000
2021-02-18,59.8125,60.33,57.9,59.8125,10561600
2021-02-19,59.8,61.5525,59.1525,59.8,9333600
2021-02-22,56.4575,59.45,55.605,56.4575,13074000
2021-02-23,54.5975,54.8025,49.5405,54.5975,23598000
2021-02-24,54.15,54.97,51.875,54.15,15777200
2021-02-25,52.165,55.4515,51.225,52.165,14417600
2021-02-26,54,54.2975,51.13,54,19614000
2021-03-01,55.85,55.96,53.965,55.85,9411600
2021-03-02,55.525,57.79,55.38,55.525,10154000
2021-03-03,52.655,55.8675,51.6525,52.655,16620800
2021-03-04,48.2475,52.0942,46.7975,48.2475,26540400
2021-03-05,45.78,48.8525,42.1675,45.78,37752000
2021-03-08,44.9375,48.11,44.725,44.9375,21210400
2021-03-09,49.775,50.285,47.375,49.775,15462000
2021-03-10,48.715,52.055,48.125,48.715,14027600
2021-03-11,51.45,51.6675,49.605,51.45,14391200
2021-03-12,49.75,50.245,48.8275,49.75,12135600
2021-03-15,50.1375,50.3675,48.7552,50.1375,10099600
2021-03-16,49.0775,52.275,48.375,49.0775,27065600
2021-03-17,52.0075,52.72,47.82,52.0075,47820400
2021-03-18,47.5525,50.9375,47.4025,47.5525,35199200
2021-03-19,48.6575,49.4475,47.505,48.6575,29503200
2021-03-22,48.9325,49.5,47.5575,48.9325,22244000
2021-03-23,47.65,49.4625,47.4225,47.65,16842000
2021-03-24,45.4,48.375,45.0275,45.4,15977200
2021-03-25,44.79,45.47,43.645,44.79,15022800
2021-03-26,44.4212,45.375,42.525,44.4212,14931200
2021-03-29,43.4625,45.6825,42.8,43.4625,12202000
2021-03-30,43.82,44.06,42.19,43.82,17112000
2021-03-31,45.6275,46.2475,44.6775,45.6275,17072400
2021-04-01,46.7575,48.625,46.3575,46.7575,13377600
2021-04-05,46.655,47.9175,46.18,46.655,15070800
2021-04-06,48.595,49.5677,46.465,48.595,14689200
2021-04-07,48.4825,49.2225,47.66,48.4825,9330000
2021-04-08,50.8625,51.0775,48.9185,50.8625,18453200
2021-04-09,50.67,51.06,48.5775,50.67,18016000
2021-04-12,50.9975,51.5375,49.3775,50.9975,13227200
2021-04-13,54.0875,54.75,51.535,54.0875,21447200
2021-04-14,52.05,54.35,51.875,52.05,13055200
2021-04-15,53.275,53.875,51.9525,53.275,17350000
2021-04-16,53.8,54.135,52.1225,53.8,14318800
2021-04-19,53.3425,55.8075,52.5725,53.3425,15491600
2021-04-20,51.65,54.435,51.395,51.65,10973200
2021-04-21,52.5925,53.0547,50.3828,52.5925,7901600
2021-04-22,54.1825,55.9825,53,54.1825,20867600
2021-04-23,54.825,56.2475,54.4325,54.825,9966000
2021-04-26,56.1175,56.275,53.9825,56.1175,14458400
2021-04-27,55.3125,56.8,54.9728,55.3125,9306800
2021-04-28,55.06,55.815,53.7557,55.06,9946400
2021-04-29,52.8825,55.25,52.105,52.8825,13289200
2021-04-30,52.1275,53.5875,51.75,52.1275,8115600
2021-05-03,51.28,52.3975,51.005,51.28,9216400
2021-05-04,49.4475,50.7475,47.84,49.4475,17098800
2021-05-05,48.31,50.685,48,48.31,9230000
2021-05-06,46.7675,47.88,45.1675,46.7675,19614000
2021-05-07,47.295,49.4475,46.9775,47.295,12729200
2021-05-10,46.895,47.675,45.95,46.895,16664400
2021-05-11,48.775,48.8375,44.3218,48.775,19642000
2021-05-12,47.3175,48.875,46.415,47.3175,15077600
2021-05-13,45.94,48.2125,44.8525,45.94,13206000
2021-05-14,47.66,47.8375,45.94,47.66,9509600
2021-05-17,47.1325,48.1285,46.25,47.1325,8094400
2021-05-18,49.195,49.8275,46.8775,49.195,16501200
2021-05-19,49.6775,49.9375,47.3175,49.6775,17094000
2021-05-20,51.0075,51.345,49.7525,51.0075,10257200
2021-05-21,52.65,52.7475,51.405,52.65,14217600
2021-05-24,53.5875,53.83,52.34,53.5875,11511600
2021-05-25,53.215,54.1475,52.96,53.215,7311600
2021-05-26,54.99,56.345,54.095,54.99,14808800
2021-05-27,55.7025,55.745,52.8363,55.7025,16294000
2021-05-28,55.5375,56.4813,55.25,55.5375,10321200
2021-06-01,55.5175,56.7375,54.7125,55.5175,11532000
2021-06-02,55.145,55.8125,54.643,55.145,8773200
2021-06-03,54,55.135,53.4825,54,18263200
2021-06-04,51.735,54.3525,51.3325,51.735,29273200
2021-06-07,53.8525,54.4525,51.1325,53.8525,23419600
2021-06-08,53.785,55.4,53.1575,53.785,11567600
2021-06-09,53.4875,54.1725,52.8063,53.4875,13412000
2021-06-10,57.15,57.3525,53.69,57.15,31148800
2021-06-11,57.8175,58,56.1525,57.8175,16040800
2021-06-14,58.3825,58.6845,57.15,58.3825,10902000
2021-06-15,57.085,58.5,56.8225,57.085,9277200
2021-06-16,58.5425,58.95,56.9125,58.5425,21810400
2021-06-17,60.3275,60.3623,58,60.3275,19942800
2021-06-18,61.2275,61.985,59.915,61.2275,23949200
2021-06-21,59.42,59.71,57.75,59.42,23992800
2021-06-22,64.1525,64.3863,60.7,64.1525,37561600
2021-06-23,63.225,64.291,62.3375,63.225,14019600
2021-06-24,63.425,64.5975,62.77,63.425,12924400
2021-06-25,63.31,64.1975,62.3875,63.31,15196800
2021-06-28,63.7725,65.205,63.45,63.7725,12671600
2021-06-29,64.28,64.9375,62.8275,64.28,9194400
2021-06-30,62.8275,65.005,62.825,62.8275,11282400
2021-07-01,62.79,63.5,61.385,62.79,10041200
2021-07-02,63.1475,64.0875,62.68,63.1475,7659200
2021-07-06,66.245,66.7925,64.425,66.245,22678000
2021-07-07,66.88,67.42,65.1575,66.88,13941600
2021-07-08,65.8475,66.2913,63.57,65.8475,13656800
2021-07-09,66.11,66.25,64.9,66.11,10348000
2021-07-12,65.4475,67.4725,65.075,65.4475,8584800
2021-07-13,65.29,66.8725,64.7775,65.29,8985200
2021-07-14,63.5575,66.015,63.1625,63.5575,10820800
2021-07-15,62.325,63.9625,61.7625,62.325,10131600
2021-07-16,62.49,63.4075,62.1048,62.49,8455200
2021-07-19,62.6,63.0375,59.9275,62.6,12784400
2021-07-20,63.06,63.75,61.4675,63.06,9670000
2021-07-21,63.3875,63.71,62.3775,63.3875,7366000
2021-07-22,65.76,66.25,63.6605,65.76,13137200
2021-07-23,67.24,68.1575,65.1295,67.24,14996400
2021-07-26,66.2075,67.0775,65.3575,66.2075,6872800
2021-07-27,64.46,66.7402,63.5075,64.46,9430800
2021-07-28,65.895,66.22,64.5,65.895,7452400
2021-07-29,65.0075,66.69,64.89,65.0075,8570800
2021-07-30,63.4025,64.8925,63.1427,63.4025,9063600
2021-08-02,63.4775,64.2925,61.55,63.4775,9146000
2021-08-03,63.585,65.6455,62.645,63.585,10282800
2021-08-04,66.0525,66.2975,63.5325,66.0525,8319200
2021-08-05,66.405,67.0825,65.3587,66.405,7488000
